,question,answer
0,101 2797 3318 3780 4545 8038 6814 3130 2595 6117 5052 4142 102,101 671 5663 3187 7444 2797 3318 3780 4545 511 102
1,101 4567 782 8038 5511 4142 3647 767 4372 102,101 100 4567 782 7305 6402 3780 4545 5442 4567 3647 4372 111 10413 132 122 110 172 126 110 8024 4507 100 2471 6629 4638 4685 1068 4567 3647 4372 711 8115 119 126 110 172 8218 119 123 110 511 102
2,101 4567 782 8038 1036 4997 6890 2228 4568 2141 7741 2147 3466 3389 102,101 122 510 2228 2382 6226 1469 2228 5301 5826 1824 1075 712 6206 4680 4638 3221 2961 7370 3789 2228 5143 5320 2697 3381 1469 5131 2228 4567 5023 511 123 510 2834 1164 2228 4080 5162 3466 3389 1377 809 749 6237 3300 3187 1079 1146 3789 679 6639 4565 4567 511 102
3,101 4567 782 8038 1969 2027 1394 2400 1317 2338 5514 4606 7564 7344 2974 3177 102,101 122 510 5033 3389 712 6206 2418 4500 6117 3926 100 3466 3844 5468 1394 4658 5579 6631 1898 3466 3389 8024 852 4680 1184 6820 5375 726 3300 2542 6395 1278 2110 898 2945 4638 6844 4500 3249 6858 782 5408 4638 1317 2338 510 6783 1317 5052 1350 1333 1355 2595 5592 5606 4617 5033 3389 3175 3428 511 123 510 6890 837 1486 6418 1469 4685 1068 1825 1728 3466 3844 2190 7770 7599 7372 782 5408 4638 1317 2338 4617 7564 7344 3300 671 2137 2692 721 511 124 510 7564 7344 2595 6783 1317 5052 1147 7370 1762 2141 3177 924 4522 1317 2338 4638 2094 2151 1147 7370 3318 3198 8024 2456 6379 1377 1398 3198 1147 7370 1352 904 6783 1317 5052 8024 809 7360 856 1317 2338 4617 4638 7599 7372 511 102
4,101 4567 782 8038 1912 7346 2626 2595 5275 5335 5299 5302 5301 5528 4606 4495 3833 5052 4415 102,101 122 510 2157 2247 2418 711 2642 5442 2990 897 5653 6844 4638 2233 857 4384 1862 8024 6912 1048 1912 4518 4638 1173 4080 511 123 510 4567 2658 2612 1908 3309 7313 2642 5442 2418 3800 2692 828 2622 8024 924 6395 1041 6639 4638 4717 4697 8024 6912 1048 6814 2428 1227 5168 8024 914 6822 3322 860 2612 1908 511 124 510 2642 5442 2418 6844 2496 6822 6121 860 5509 7248 4159 8024 1872 2487 860 6574 8024 2990 7770 3322 860 1048 4554 1213 511 3318 1400 2642 5442 1377 6905 1278 1671 2226 3193 678 2414 3833 1220 511 125 510 3800 2692 702 782 1310 4495 8024 1075 2768 5679 1962 4638 1310 4495 739 2679 8024 1249 3819 2797 510 3819 4074 8024 3680 1921 4500 3946 3717 3926 3819 1912 7346 8024 679 2553 886 4500 4900 1905 3926 4415 3890 511 684 2226 7030 2208 886 4500 1310 4495 2844 1807 8024 4959 3469 6574 2772 5442 692 6574 1079 6175 8024 2400 1249 2940 3819 1079 6175 8024 679 680 782 1066 4500 3688 2353 510 3861 2353 5023 4900 782 4500 1501 511 102
5,101 4567 782 8038 7565 1079 4535 5522 4606 7305 6402 2900 2519 102,101 122 510 1139 4385 7565 1079 1327 1872 7770 4638 6134 4385 8024 1963 1928 4578 510 1445 1402 5023 511 123 510 1139 4385 1079 1146 3789 4568 4307 8024 1963 2595 3193 4225 510 1914 7650 1914 2228 510 5503 5523 5023 511 124 510 1139 4385 6228 1213 1121 6842 510 1352 7584 904 974 4683 8020 1922 7345 4954 7353 6818 6228 7029 1139 4385 5375 2938 8021 511 125 510 860 3466 3466 1139 4749 2096 2190 1045 1353 2198 3867 1927 8024 5501 860 1353 2198 768 6822 510 6674 1068 5688 1469 5607 1068 5688 7347 2908 1350 5491 5489 5848 5367 5023 511 809 677 2658 1105 1772 7444 6206 1350 3198 2218 1278 511 102
6,101 4567 782 8038 4193 712 818 8024 2644 1962 8024 1728 711 4567 782 1453 671 678 1286 2798 5543 1168 677 3862 8024 2792 809 4692 679 749 1453 671 677 1286 4638 683 2157 7305 6402 511 1961 2361 3307 1453 1724 1726 1343 8024 2792 809 1453 753 2772 1453 676 3221 1415 1377 809 4692 2644 4638 1217 1384 7305 6402 8043 7478 2382 2697 6468 511 102,101 872 1962 511 2523 2849 3624 8024 3297 6818 2339 868 2141 1762 1922 1914 8024 2128 2961 679 1139 3198 7313 511 679 4761 1961 1453 671 862 3198 5543 3341 677 3862 8043 1546 671 4638 1377 5543 3221 1453 671 678 1286 697 4157 1288 5635 676 4157 2340 1381 1168 7314 6121 1146 7368 3341 2823 2769 511 102
7,101 4567 782 8038 5498 6117 5052 2398 3998 5491 5544 5505 4606 3318 1400 2844 4415 102,101 122 510 6225 2175 2471 3837 5052 4517 6858 3318 1400 2418 3800 2692 2471 3837 5052 3221 1415 6858 4517 8024 969 1963 2471 3837 5052 704 1139 4385 1920 7030 6117 3890 2418 5632 2346 1440 4761 1278 4495 511 1139 7368 1400 6206 3800 2692 924 2898 839 1366 3926 3815 8024 2137 3309 3291 2940 3148 3160 511 5735 1355 4385 839 1366 3935 6117 510 3935 3890 510 5273 5514 8024 6435 1350 3198 680 1278 4495 3765 6858 511 123 510 2137 3309 1908 3389 2418 6905 1278 1671 2137 3309 6822 6121 1908 3389 8024 712 6206 1908 3389 100 510 100 6631 5023 7555 4680 511 124 510 6817 1220 2797 3318 2642 5442 6858 2382 7444 6206 1762 3318 1400 1309 2414 828 2622 5276 122 172 124 1921 8024 7390 1400 1377 809 678 2414 1762 2207 5745 1741 1079 6624 1220 511 6206 3418 2945 6716 860 2612 1908 2658 1105 6852 3933 1872 1217 6817 1220 2487 2428 8024 852 1762 4764 3309 1079 3800 2692 679 6206 1920 2388 2428 6702 678 510 6663 6645 102
8,101 4567 782 8038 2207 1036 4567 3681 2697 3381 2595 1366 4142 4565 4567 2137 721 102,101 2207 1036 4567 3681 2697 3381 2595 1366 4142 1259 2886 1914 4905 4507 4567 3681 2697 3381 2471 6629 4638 4565 4567 8024 3683 1963 1296 5283 4557 4562 510 2372 4307 4557 4562 809 1350 2797 118 6639 118 1366 4567 5023 511 679 1398 5102 1798 4638 4565 4567 6134 4385 738 679 4685 1398 8024 6772 2382 6224 1366 5579 7945 5606 1041 6117 3717 5514 510 1366 5579 3717 4557 510 1355 4178 5023 4568 4307 8024 1072 860 4294 2519 3300 2345 2460 511 2207 1036 4567 3681 2697 3381 2595 1366 4142 809 5790 4289 3780 4545 711 712 8024 1071 704 6956 1146 4565 4567 3300 5632 7361 2595 8024 4568 4307 1377 5632 6121 5353 6237 511 102
9,101 4567 782 8038 6822 6121 2595 5501 4999 7946 1359 4567 1314 2154 2595 102,101 122 510 3315 4567 4638 4649 2938 1377 6822 6121 2595 1872 7270 8024 5735 855 754 3274 7463 6956 855 8024 1377 5543 833 2512 1510 1912 6505 5401 6225 511 123 510 6956 1146 2642 5442 1377 5543 833 1139 4385 5125 4868 1355 5509 6826 5353 510 4626 4587 3416 1355 868 5023 6134 4385 8024 1377 698 7028 7360 856 4495 3833 6574 7030 511 102
